Conservative tracer analysis results
Time (days),Chn-1,Chn-2,Mean C,Mean C Obs,Residuals,Stdized Residuals
0.08,0,0,0,0,0,1
0.8,4.35904934568805e-148,7.46259495905007e-288,4.35904934568805e-148,4.35905721189202e-148,-7.8662039738735e-154,2
1.6,2.55409410667533e-68,6.01098556927332e-138,2.55409410667533e-68,2.55409624524443e-68,-2.13856909647641e-74,3
2.4,7.2163204071349e-42,4.46662087711211e-88,7.2163204071349e-42,7.21632413389123e-42,-3.72675632706771e-48,4
3.2,9.77602020595051e-29,3.3282490338264e-63,9.77602020595051e-29,9.77602369749607e-29,-3.49154556414242e-35,5
4,6.28201803066853e-21,2.50448088753659e-48,6.28201803066853e-21,6.28201967977322e-21,-1.64910468629243e-27,6
4.8,8.82955613210888e-16,1.90199523083101e-38,8.82955613210888e-16,8.82955789968757e-16,-1.76757868619049e-22,7
5.6,3.75642547520989e-12,2.02250692442597e-31,3.75642547520989e-12,3.75642606246623e-12,-5.87256337891506e-19,8
6.4,1.79840486499778e-09,3.5448088536994e-26,1.79840486499778e-09,1.79840508803835e-09,-2.23040564917336e-16,9
7.2,2.00887439126661e-07,4.02789862592427e-22,2.00887439126661e-07,2.00887459095648e-07,-1.99689870993867e-14,10
8,8.10753158336077e-06,6.74708206925733e-19,8.10753158336144e-06,8.10753223336573e-06,-6.50004288132826e-13,11
8.8,0.000156133609538086,2.80985811960683e-16,0.000156133609538367,0.000156133619665098,-1.01267307527856e-11,12
9.6,0.0017269243928013,4.12160390593575e-14,0.00172692439284251,0.00172692448347839,-9.06358766251253e-11,13
10.4,0.0124716177510174,2.71000512301482e-12,0.0124716177537275,0.0124716182821332,-5.28405749711247e-10,14
11.2,0.0644487827011885,9.48788851513764e-11,0.0644487827960674,0.0644487849892021,-2.19313467386684e-09,15
12,0.25485923492454,2.00671305791955e-09,0.254859236931253,0.254859243840531,-6.90927831614729e-09,16
12.8,0.811023087645916,2.81853030825285e-08,0.811023115831219,0.811023133142903,-1.73116836421627e-08,17
13.6,2.15832617044534,2.82623220214791e-07,2.15832645306856,2.15832648874861,-3.56800531342572e-08,18
14.4,4.94923281211422,2.14031233457431e-06,4.94923495242655,4.94923501433812,-6.19115692046535e-08,19
15.2,10.0125109451658,1.27972875069519e-05,10.0125237424533,10.0125238341108,-9.16574620646315e-08,20
16,18.2106976496345,6.25973910488193e-05,18.2107602470255,18.2107603629571,-1.1593159499057e-07,21
